frame,dx,dy,da
0,-0.722923,0.17014888,-0.0003909994
1,-0.5475082,-0.15367037,-0.0003800511
2,-0.37564242,-0.21840024,-0.0005167987
3,-0.29092115,-0.34063148,-0.0005084428
4,-0.22683644,-0.451498,-0.00048750482
5,-0.26549262,-0.5362177,-0.0004325801
6,-0.30756494,-0.57500494,-0.0003889941
7,-0.52258205,-0.63641036,-0.00038673406
8,-0.6261256,-0.6578154,-0.00027189648
9,-0.7759196,-0.7435399,-0.00023788231
10,-0.8963437,-0.8290806,-6.7997076e-05
11,-1.0971344,-0.90096056,-5.8100515e-05
12,-1.1187689,-1.0071907,0.0001076656
13,-1.2760154,-1.1817771,0.00021359633
14,-1.4498438,-1.3055656,0.00036797248
15,-1.6216862,-1.4698573,0.00049976807
16,-1.8105192,-1.6560799,0.0006374113
17,-2.0244086,-1.810458,0.00089330366
18,-2.2788801,-1.9486197,0.0009813248
19,-2.4443018,-2.0836453,0.0011718051
20,-2.5629084,-2.2876418,0.0013651046
21,-2.6523407,-2.4577222,0.0016155762
22,-2.8115761,-2.5327592,0.0017620397
23,-2.9662962,-2.7036436,0.001977833
24,-3.0227983,-2.7900584,0.0022108005
25,-3.1208813,-2.8593466,0.0023747715
26,-3.1453712,-2.8683589,0.002585172
27,-3.3185802,-2.8014598,0.0026507382
28,-3.3302503,-2.7350614,0.0027899987
29,-3.3522565,-2.610547,0.0027983333
30,-3.4376142,-2.5727403,0.0028482205
31,-3.523498,-2.3663177,0.0029143721
32,-3.7648056,-2.1753528,0.0028771241
33,-4.1055675,-1.9443773,0.0028571829
34,-4.431089,-1.7585847,0.0027877474
35,-4.7390313,-1.549484,0.0026777468
36,-4.9448376,-1.4027618,0.002658368
37,-5.287523,-1.3273195,0.0025913334
38,-5.518749,-1.204077,0.002494331
39,-5.600075,-1.1060954,0.0023950776
40,-5.5659904,-1.0935154,0.0024143853
41,-5.57285,-1.0400534,0.0023393526
42,-5.560481,-1.0159327,0.0023540477
43,-5.4760513,-0.89998436,0.002328156
44,-5.2574925,-0.81615305,0.0022479333
45,-4.9908233,-0.84483814,0.0022057109
46,-4.6180835,-0.98724735,0.0022346564
47,-4.16521,-1.1056409,0.0023859355
48,-3.6167676,-1.1483779,0.0024764417
49,-3.1386766,-1.4089985,0.0025955744
50,-2.5461497,-1.6626805,0.0027524047
51,-1.9735866,-1.8403187,0.0027684777
52,-1.3454502,-2.1215596,0.0029384214
53,-0.6901604,-2.4304333,0.0031211448
54,-0.14301598,-2.638992,0.003246358
55,0.69430983,-2.7759106,0.0033984839
56,1.6538734,-2.915205,0.0035742356
57,2.5414214,-3.1526694,0.0037685432
58,3.5480409,-3.388708,0.00397182
59,4.562497,-3.6504936,0.004191247
60,5.711796,-3.8983793,0.004524252
61,6.698716,-4.2176914,0.004836991
62,7.9110503,-4.54399,0.0052547962
63,9.158434,-4.822713,0.0057256347
64,10.440514,-5.0641637,0.006067701
65,11.682001,-5.209341,0.0063792435
66,13.304221,-5.387597,0.0067621022
67,14.753605,-5.529355,0.0071502114
68,15.599717,-5.716936,0.0075086853
69,15.749415,-5.7213025,0.0076413304
70,15.050072,-5.4516325,0.0074733016
71,14.154101,-5.2262425,0.0073279794
72,13.5275545,-4.695067,0.0068208263
73,12.7809725,-4.2842364,0.006365494
74,12.222453,-3.7471406,0.0058585093
75,12.406186,-3.02678,0.0053222515
76,12.330826,-2.7662985,0.0050329645
77,12.287665,-2.6703749,0.004929171
78,12.302108,-2.404524,0.004703803
79,12.320268,-2.2683203,0.0045864373
80,12.115577,-1.9685752,0.0042253505
81,11.625261,-1.6272463,0.0038158963
82,10.878838,-1.2861174,0.0032623415
83,9.88792,-0.8632922,0.0026140213
84,8.83933,-0.5138873,0.0020913873
85,7.6371903,0.0019177198,0.0012233594
86,6.4061265,0.44659853,0.0005613192
87,5.153673,0.7796776,-0.0001241141
88,3.597117,1.4029056,-0.0012151329
89,1.7812855,1.9480517,-0.0025269082
90,0.18360257,2.4120111,-0.0033495263
91,-1.4050918,3.0809417,-0.004341223
92,-2.9980345,3.7887084,-0.00532689
93,-4.4875584,4.6014853,-0.0064025563
94,-5.999745,5.3358574,-0.0074540246
95,-7.4505653,6.1396656,-0.008495999
96,-8.6830225,7.1225805,-0.0096497005
97,-10.149324,8.017134,-0.010668553
